,Age,Sex,Embarked,Survived
0,22.0,male,S,No
1,38.0,female,C,Yes
2,26.0,female,S,Yes
3,35.0,female,S,Yes
4,35.0,male,S,No
5,,male,Q,No
6,54.0,male,S,No
7,2.0,male,S,No
8,27.0,female,S,Yes
9,14.0,female,C,Yes
10,4.0,female,S,Unknown
11,58.0,female,S,Yes
12,20.0,male,S,No
13,39.0,male,S,No
14,14.0,female,S,No
15,55.0,female,S,Unknown
16,2.0,male,Q,No
17,,male,S,Yes
18,31.0,female,S,No
19,,female,C,Yes
20,35.0,male,S,Unknown
21,34.0,male,S,Yes
22,15.0,female,Q,Yes
23,28.0,male,S,Yes
24,8.0,female,S,No
25,38.0,female,S,Unknown
26,,male,C,No
27,19.0,male,S,No
28,,female,Q,Yes
29,,male,S,No
30,40.0,male,C,No
31,,female,C,Yes
32,,female,Q,Yes
33,66.0,male,S,No
34,28.0,male,C,No
35,42.0,male,S,No
36,,male,C,Yes
37,21.0,male,S,No
38,18.0,female,S,No
39,14.0,female,C,Yes
40,40.0,female,S,No
41,27.0,female,S,No
42,,male,C,No
43,3.0,female,C,Unknown
44,19.0,female,Q,Yes
45,,male,S,No
46,,male,Q,No
47,,female,Q,Yes
48,,male,C,No
49,18.0,female,S,No
50,7.0,male,S,No
51,21.0,male,S,No
52,49.0,female,C,Yes
53,29.0,female,S,Yes
54,65.0,male,C,No
55,,male,S,Yes
56,21.0,female,S,Yes
57,28.5,male,C,No
58,5.0,female,S,Yes
59,11.0,male,S,No
60,22.0,male,C,No
61,38.0,female,,Yes
62,45.0,male,S,No
63,4.0,male,S,No
64,,male,C,No
65,,male,C,Yes
66,29.0,female,S,Yes
67,19.0,male,S,No
68,17.0,female,S,Yes
69,26.0,male,S,No
70,32.0,male,S,No
71,16.0,female,S,No
72,21.0,male,S,No
73,26.0,male,C,No
74,32.0,male,S,Yes
75,25.0,male,S,Unknown
76,,male,S,No
77,,male,S,Unknown
78,0.83,male,S,Yes
79,30.0,female,S,Yes
80,22.0,male,S,No
81,29.0,male,S,Yes
82,,female,Q,Yes
83,28.0,male,S,No
84,17.0,female,S,Yes
85,33.0,female,S,Yes
86,16.0,male,S,No
87,,male,S,No
88,23.0,female,S,Yes
89,24.0,male,S,No
90,29.0,male,S,No
91,20.0,male,S,No
92,46.0,male,S,No
93,26.0,male,S,No
94,59.0,male,S,No
95,,male,S,No
96,71.0,male,C,Unknown
97,23.0,male,C,Yes
98,34.0,female,S,Yes
99,34.0,male,S,No
100,28.0,female,S,No
101,,male,S,No
102,21.0,male,S,No
103,33.0,male,S,No
104,37.0,male,S,No
105,28.0,male,S,No
106,21.0,female,S,Yes
107,,male,S,Yes
108,38.0,male,S,No
109,,female,Q,Yes
110,47.0,male,S,No
111,14.5,female,C,No
112,22.0,male,S,No
113,20.0,female,S,No
114,17.0,female,C,No
115,21.0,male,S,No
116,70.5,male,Q,No
117,29.0,male,S,No
118,24.0,male,C,No
119,2.0,female,S,No
120,21.0,male,S,No
121,,male,S,No
122,32.5,male,C,No
123,32.5,female,S,Yes
124,54.0,male,S,No
125,12.0,male,C,Yes
126,,male,Q,No
127,24.0,male,S,Yes
128,,female,C,Yes
129,45.0,male,S,No
130,33.0,male,C,Unknown
131,20.0,male,S,No
132,47.0,female,S,No
133,29.0,female,S,Yes
134,25.0,male,S,No
135,23.0,male,C,No
136,19.0,female,S,Yes
137,37.0,male,S,No
138,16.0,male,S,No
139,24.0,male,C,No
140,,female,C,Unknown
141,22.0,female,S,Unknown
142,24.0,female,S,Yes
143,19.0,male,Q,No
144,18.0,male,S,No
145,19.0,male,S,No
146,27.0,male,S,Yes
147,9.0,female,S,No
148,36.5,male,S,No
149,42.0,male,S,Unknown
150,51.0,male,S,No
151,22.0,female,S,Unknown
152,55.5,male,S,Unknown
153,40.5,male,S,No
154,,male,S,No
155,51.0,male,C,No
156,16.0,female,Q,Yes
157,30.0,male,S,No
158,,male,S,No
159,,male,S,No
160,44.0,male,S,No
161,40.0,female,S,Yes
162,26.0,male,S,No
163,17.0,male,S,No
164,1.0,male,S,No
165,9.0,male,S,Yes
166,,female,S,Yes
167,45.0,female,S,No
168,,male,S,No
169,28.0,male,S,No
170,61.0,male,S,Unknown
171,4.0,male,Q,No
172,1.0,female,S,Yes
173,21.0,male,S,No
174,56.0,male,C,No
175,18.0,male,S,No
176,,male,S,Unknown
177,50.0,female,C,No
178,30.0,male,S,No
179,36.0,male,S,No
180,,female,S,No
181,,male,C,No
182,9.0,male,S,No
183,1.0,male,S,Unknown
184,4.0,female,S,Yes
185,,male,S,No
186,,female,Q,Yes
187,45.0,male,S,Yes
188,40.0,male,Q,No
189,36.0,male,S,No
190,32.0,female,S,Yes
191,19.0,male,S,No
192,19.0,female,S,Yes
193,3.0,male,S,Unknown
194,44.0,female,C,Yes
195,58.0,female,C,Yes
196,,male,Q,No
197,42.0,male,S,No
198,,female,Q,Unknown
199,24.0,female,S,No
200,28.0,male,S,No
201,,male,S,No
202,34.0,male,S,No
203,45.5,male,C,No
204,18.0,male,S,Yes
205,2.0,female,S,No
206,32.0,male,S,No
207,26.0,male,C,Yes
208,16.0,female,Q,Yes
209,40.0,male,C,Yes
210,24.0,male,S,Unknown
211,35.0,female,S,Yes
212,22.0,male,S,Unknown
213,30.0,male,S,No
214,,male,Q,No
215,31.0,female,C,Yes
216,27.0,female,S,Yes
217,42.0,male,S,No
218,32.0,female,C,Yes
219,30.0,male,S,No
220,16.0,male,S,Yes
221,27.0,male,S,No
222,51.0,male,S,No
223,,male,S,No
224,38.0,male,S,Yes
225,22.0,male,S,No
226,19.0,male,S,Yes
227,20.5,male,S,No
228,18.0,male,S,No
229,,female,S,No
230,35.0,female,S,Yes
231,29.0,male,S,Unknown
232,59.0,male,S,No
233,5.0,female,S,Yes
234,24.0,male,S,No
235,,female,S,No
236,44.0,male,S,No
237,8.0,female,S,Yes
238,19.0,male,S,No
239,33.0,male,S,No
240,,female,C,No
241,,female,Q,Yes
242,29.0,male,S,No
243,22.0,male,S,No
244,30.0,male,C,No
245,44.0,male,Q,No
246,25.0,female,S,No
247,24.0,female,S,Yes
248,37.0,male,S,Yes
249,54.0,male,S,No
250,,male,S,No
251,29.0,female,S,No
252,62.0,male,S,No
253,30.0,male,S,Unknown
254,41.0,female,S,No
255,29.0,female,C,Yes
256,,female,C,Yes
257,30.0,female,S,Yes
258,35.0,female,C,Yes
259,50.0,female,S,Yes
260,,male,Q,No
261,3.0,male,S,Yes
262,52.0,male,S,No
263,40.0,male,S,Unknown
264,,female,Q,No
265,36.0,male,S,No
266,16.0,male,S,Unknown
267,25.0,male,S,Yes
268,58.0,female,S,Yes
269,35.0,female,S,Unknown
270,,male,S,No
271,25.0,male,S,Yes
272,41.0,female,S,Yes
273,37.0,male,C,No
274,,female,Q,Yes
275,63.0,female,S,Yes
276,45.0,female,S,No
277,,male,S,No
278,7.0,male,Q,Unknown
279,35.0,female,S,Unknown
280,65.0,male,Q,No
281,28.0,male,S,No
282,16.0,male,S,No
283,19.0,male,S,Yes
284,,male,S,No
285,33.0,male,C,No
286,30.0,male,S,Yes
287,22.0,male,S,No
288,42.0,male,S,Yes
289,22.0,female,Q,Yes
290,26.0,female,S,Yes
291,19.0,female,C,Yes
292,36.0,male,C,No
293,24.0,female,S,No
294,24.0,male,S,No
295,,male,C,No
296,23.5,male,C,No
297,2.0,female,S,No
298,,male,S,Yes
299,50.0,female,C,Yes
300,,female,Q,Yes
301,,male,Q,Yes
302,19.0,male,S,Unknown
303,,female,Q,Yes
304,,male,S,No
305,0.92,male,S,Yes
306,,female,C,Yes
307,17.0,female,C,Yes
308,30.0,male,C,No
309,30.0,female,C,Yes
310,24.0,female,C,Yes
311,18.0,female,C,Yes
312,26.0,female,S,No
313,28.0,male,S,No
314,43.0,male,S,No
315,26.0,female,S,Yes
316,24.0,female,S,Yes
317,54.0,male,S,Unknown
318,31.0,female,S,Yes
319,40.0,female,C,Yes
320,22.0,male,S,No
321,27.0,male,S,Unknown
322,30.0,female,Q,Yes
323,22.0,female,S,Yes
324,,male,S,No
325,36.0,female,C,Yes
326,61.0,male,S,No
327,36.0,female,S,Unknown
328,31.0,female,S,Yes
329,16.0,female,C,Yes
330,,female,Q,Yes
331,45.5,male,S,No
332,38.0,male,S,Unknown
333,16.0,male,S,No
334,,female,S,Yes
335,,male,S,No
336,29.0,male,S,No
337,41.0,female,C,Yes
338,45.0,male,S,Unknown
339,45.0,male,S,No
340,2.0,male,S,Yes
341,24.0,female,S,Yes
342,28.0,male,S,No
343,25.0,male,S,No
344,36.0,male,S,No
345,24.0,female,S,Yes
346,40.0,female,S,Yes
347,,female,S,Yes
348,3.0,male,S,Yes
349,42.0,male,S,No
350,23.0,male,S,No
351,,male,S,No
352,15.0,male,C,No
353,25.0,male,S,No
354,,male,C,No
355,28.0,male,S,No
356,22.0,female,S,Yes
357,38.0,female,S,No
358,,female,Q,Yes
359,,female,Q,Yes
360,40.0,male,S,No
361,29.0,male,C,No
362,45.0,female,C,No
363,35.0,male,S,No
364,,male,Q,No
365,30.0,male,S,No
366,60.0,female,C,Yes
367,,female,C,Yes
368,,female,Q,Yes
369,24.0,female,C,Unknown
370,25.0,male,C,Yes
371,18.0,male,S,No
372,19.0,male,S,No
373,22.0,male,C,No
374,3.0,female,S,No
375,,female,C,Yes
376,22.0,female,S,Yes
377,27.0,male,C,No
378,20.0,male,C,No
379,19.0,male,S,No
380,42.0,female,C,Yes
381,1.0,female,C,Yes
382,32.0,male,S,No
383,35.0,female,S,Yes
384,,male,S,No
385,18.0,male,S,No
386,1.0,male,S,No
387,36.0,female,S,Yes
388,,male,Q,No
389,17.0,female,C,Yes
390,36.0,male,S,Yes
391,21.0,male,S,Yes
392,28.0,male,S,No
393,23.0,female,C,Yes
394,24.0,female,S,Yes
395,22.0,male,S,No
396,31.0,female,S,No
397,46.0,male,S,No
398,23.0,male,S,No
399,28.0,female,S,Yes
400,39.0,male,S,Yes
401,26.0,male,S,Unknown
402,21.0,female,S,No
403,28.0,male,S,No
404,20.0,female,S,No
405,34.0,male,S,Unknown
406,51.0,male,S,No
407,3.0,male,S,Yes
408,21.0,male,S,No
409,,female,S,No
410,,male,S,No
411,,male,Q,No
412,33.0,female,Q,Yes
413,,male,S,No
414,44.0,male,S,Yes
415,,female,S,No
416,34.0,female,S,Unknown
417,18.0,female,S,Yes
418,30.0,male,S,No
419,10.0,female,S,No
420,,male,C,No
421,21.0,male,Q,No
422,29.0,male,S,No
423,28.0,female,S,No
424,18.0,male,S,No
425,,male,S,No
426,28.0,female,S,Yes
427,19.0,female,S,Yes
428,,male,Q,No
429,32.0,male,S,Yes
430,28.0,male,S,Yes
431,,female,S,Yes
432,42.0,female,S,Yes
433,17.0,male,S,No
434,50.0,male,S,No
435,14.0,female,S,Yes
436,21.0,female,S,No
437,24.0,female,S,Yes
438,64.0,male,S,No
439,31.0,male,S,No
440,45.0,female,S,Yes
441,20.0,male,S,No
442,25.0,male,S,No
443,28.0,female,S,Yes
444,,male,S,Yes
445,4.0,male,S,Yes
446,13.0,female,S,Yes
447,34.0,male,S,Yes
448,5.0,female,C,Yes
449,52.0,male,S,Yes
450,36.0,male,S,No
451,,male,S,No
452,30.0,male,C,No
453,49.0,male,C,Yes
454,,male,S,Unknown
455,29.0,male,C,Yes
456,65.0,male,S,No
457,,female,S,Yes
458,50.0,female,S,Yes
459,,male,Q,No
460,48.0,male,S,Yes
461,34.0,male,S,Unknown
462,47.0,male,S,No
463,48.0,male,S,No
464,,male,S,No
465,38.0,male,S,No
466,,male,S,No
467,56.0,male,S,No
468,,male,Q,No
469,0.75,female,C,Unknown
470,,male,S,Unknown
471,38.0,male,S,No
472,33.0,female,S,Yes
473,23.0,female,C,Yes
474,22.0,female,S,No
475,,male,S,No
476,34.0,male,S,Unknown
477,29.0,male,S,No
478,22.0,male,S,No
479,2.0,female,S,Yes
480,9.0,male,S,No
481,,male,S,No
482,50.0,male,S,No
483,63.0,female,S,Yes
484,25.0,male,C,Yes
485,,female,S,Unknown
486,35.0,female,S,Yes
487,58.0,male,C,No
488,30.0,male,S,No
489,9.0,male,S,Unknown
490,,male,S,No
491,21.0,male,S,No
492,55.0,male,S,Unknown
493,71.0,male,C,No
494,21.0,male,S,No
495,,male,C,No
496,54.0,female,C,Yes
497,,male,S,Unknown
498,25.0,female,S,No
499,24.0,male,S,No
500,17.0,male,S,No
501,21.0,female,Q,No
502,,female,Q,No
503,37.0,female,S,No
504,16.0,female,S,Yes
505,18.0,male,C,Unknown
506,33.0,female,S,Yes
507,,male,S,Yes
508,28.0,male,S,Unknown
509,26.0,male,S,Yes
510,29.0,male,Q,Yes
511,,male,S,No
512,36.0,male,S,Yes
513,54.0,female,C,Yes
514,24.0,male,S,Unknown
515,47.0,male,S,No
516,34.0,female,S,Yes
517,,male,Q,No
518,36.0,female,S,Yes
519,32.0,male,S,No
520,30.0,female,S,Yes
521,22.0,male,S,No
522,,male,C,No
523,44.0,female,C,Yes
524,,male,C,No
525,40.5,male,Q,No
526,50.0,female,S,Yes
527,,male,S,No
528,39.0,male,S,No
529,23.0,male,S,No
530,2.0,female,S,Yes
531,,male,C,No
532,17.0,male,C,Unknown
533,,female,C,Yes
534,30.0,female,S,No
535,7.0,female,S,Yes
536,45.0,male,S,No
537,30.0,female,C,Yes
538,,male,S,No
539,22.0,female,C,Yes
540,36.0,female,S,Yes
541,9.0,female,S,No
542,11.0,female,S,Unknown
543,32.0,male,S,Yes
544,50.0,male,C,No
545,64.0,male,S,No
546,19.0,female,S,Yes
547,,male,C,Yes
548,33.0,male,S,Unknown
549,8.0,male,S,Yes
550,17.0,male,C,Yes
551,27.0,male,S,No
552,,male,Q,No
553,22.0,male,C,Yes
554,22.0,female,S,Yes
555,62.0,male,S,No
556,48.0,female,C,Yes
557,,male,C,No
558,39.0,female,S,Yes
559,36.0,female,S,Yes
560,,male,Q,No
561,40.0,male,S,No
562,28.0,male,S,No
563,,male,S,No
564,,female,S,Unknown
565,24.0,male,S,No
566,19.0,male,S,Unknown
567,29.0,female,S,No
568,,male,C,Unknown
569,32.0,male,S,Unknown
570,62.0,male,S,Yes
571,53.0,female,S,Yes
572,36.0,male,S,Unknown
573,,female,Q,Yes
574,16.0,male,S,No
575,19.0,male,S,No
576,34.0,female,S,Yes
577,39.0,female,S,Yes
578,,female,C,No
579,32.0,male,S,Yes
580,25.0,female,S,Yes
581,39.0,female,C,Yes
582,54.0,male,S,No
583,36.0,male,C,No
584,,male,C,No
585,18.0,female,S,Yes
586,47.0,male,S,No
587,60.0,male,C,Yes
588,22.0,male,S,Unknown
589,,male,S,No
590,35.0,male,S,No
591,52.0,female,C,Yes
592,47.0,male,S,No
593,,female,Q,No
594,37.0,male,S,No
595,36.0,male,S,No
596,,female,S,Yes
597,49.0,male,S,No
598,,male,C,No
599,49.0,male,C,Yes
600,24.0,female,S,Yes
601,,male,S,No
602,,male,S,No
603,44.0,male,S,No
604,35.0,male,C,Yes
605,36.0,male,S,No
606,30.0,male,S,Unknown
607,27.0,male,S,Yes
608,22.0,female,C,Yes
609,40.0,female,S,Unknown
610,39.0,female,S,No
611,,male,S,No
612,,female,Q,Yes
613,,male,Q,No
614,35.0,male,S,No
615,24.0,female,S,Unknown
616,34.0,male,S,No
617,26.0,female,S,No
618,4.0,female,S,Yes
619,26.0,male,S,No
620,27.0,male,C,No
621,42.0,male,S,Yes
622,20.0,male,C,Yes
623,21.0,male,S,No
624,21.0,male,S,No
625,61.0,male,S,No
626,57.0,male,Q,Unknown
627,21.0,female,S,Yes
628,26.0,male,S,Unknown
629,,male,Q,No
630,80.0,male,S,Unknown
631,51.0,male,S,No
632,32.0,male,C,Yes
633,,male,S,No
634,9.0,female,S,No
635,28.0,female,S,Yes
636,32.0,male,S,No
637,31.0,male,S,No
638,41.0,female,S,No
639,,male,S,No
640,20.0,male,S,No
641,24.0,female,C,Yes
642,2.0,female,S,No
643,,male,S,Yes
644,0.75,female,C,Yes
645,48.0,male,C,Yes
646,19.0,male,S,Unknown
647,56.0,male,C,Yes
648,,male,S,No
649,23.0,female,S,Yes
650,,male,S,No
651,18.0,female,S,Yes
652,21.0,male,S,No
653,,female,Q,Yes
654,18.0,female,Q,No
655,24.0,male,S,No
656,,male,S,No
657,32.0,female,Q,No
658,23.0,male,S,No
659,58.0,male,C,No
660,50.0,male,S,Unknown
661,40.0,male,C,No
662,47.0,male,S,No
663,36.0,male,S,No
664,20.0,male,S,Yes
665,32.0,male,S,No
666,25.0,male,S,No
667,,male,S,No
668,43.0,male,S,No
669,,female,S,Yes
670,40.0,female,S,Yes
671,31.0,male,S,No
672,70.0,male,S,No
673,31.0,male,S,Yes
674,,male,S,No
675,18.0,male,S,No
676,24.5,male,S,No
677,18.0,female,S,Yes
678,43.0,female,S,No
679,36.0,male,C,Yes
680,,female,Q,No
681,27.0,male,C,Yes
682,20.0,male,S,No
683,14.0,male,S,No
684,60.0,male,S,No
685,25.0,male,C,No
686,14.0,male,S,No
687,19.0,male,S,No
688,18.0,male,S,No
689,15.0,female,S,Yes
690,31.0,male,S,Yes
691,4.0,female,C,Yes
692,,male,S,Yes
693,25.0,male,C,Unknown
694,60.0,male,S,Unknown
695,52.0,male,S,Unknown
696,44.0,male,S,Unknown
697,,female,Q,Yes
698,49.0,male,C,No
699,42.0,male,S,No
700,18.0,female,C,Yes
701,35.0,male,S,Yes
702,18.0,female,C,No
703,25.0,male,Q,No
704,26.0,male,S,No
705,39.0,male,S,No
706,45.0,female,S,Unknown
707,42.0,male,S,Yes
708,22.0,female,S,Yes
709,,male,C,Yes
710,24.0,female,C,Yes
711,,male,S,No
712,48.0,male,S,Unknown
713,29.0,male,S,No
714,52.0,male,S,Unknown
715,19.0,male,S,Unknown
716,38.0,female,C,Yes
717,27.0,female,S,Unknown
718,,male,Q,No
719,33.0,male,S,No
720,6.0,female,S,Yes
721,17.0,male,S,No
722,34.0,male,S,No
723,50.0,male,S,No
724,27.0,male,S,Yes
725,20.0,male,S,No
726,30.0,female,S,Yes
727,,female,Q,Yes
728,25.0,male,S,Unknown
729,25.0,female,S,Unknown
730,29.0,female,S,Yes
731,11.0,male,C,No
732,,male,S,Unknown
733,23.0,male,S,No
734,23.0,male,S,No
735,28.5,male,S,No
736,48.0,female,S,No
737,35.0,male,C,Yes
738,,male,S,No
739,,male,S,No
740,,male,S,Yes
741,36.0,male,S,No
742,21.0,female,C,Yes
743,24.0,male,S,No
744,31.0,male,S,Yes
745,70.0,male,S,No
746,16.0,male,S,No
747,30.0,female,S,Yes
748,19.0,male,S,No
749,31.0,male,Q,No
750,4.0,female,S,Yes
751,6.0,male,S,Yes
752,33.0,male,S,Unknown
753,23.0,male,S,No
754,48.0,female,S,Yes
755,0.67,male,S,Yes
756,28.0,male,S,No
757,18.0,male,S,No
758,34.0,male,S,No
759,33.0,female,S,Yes
760,,male,S,No
761,41.0,male,S,No
762,20.0,male,C,Yes
763,36.0,female,S,Yes
764,16.0,male,S,No
765,51.0,female,S,Yes
766,,male,C,No
767,30.5,female,Q,No
768,,male,Q,No
769,32.0,male,S,No
770,24.0,male,S,No
771,48.0,male,S,Unknown
772,57.0,female,S,No
773,,male,C,No
774,54.0,female,S,Unknown
775,18.0,male,S,Unknown
776,,male,Q,No
777,5.0,female,S,Yes
778,,male,Q,No
779,43.0,female,S,Yes
780,13.0,female,C,Yes
781,17.0,female,S,Yes
782,29.0,male,S,No
783,,male,S,No
784,25.0,male,S,No
785,25.0,male,S,No
786,18.0,female,S,Yes
787,8.0,male,Q,No
788,1.0,male,S,Yes
789,46.0,male,C,No
790,,male,Q,No
791,16.0,male,S,No
792,,female,S,No
793,,male,C,No
794,25.0,male,S,No
795,39.0,male,S,No
796,49.0,female,S,Yes
797,31.0,female,S,Yes
798,30.0,male,C,No
799,30.0,female,S,No
800,34.0,male,S,No
801,31.0,female,S,Yes
802,11.0,male,S,Yes
803,0.42,male,C,Yes
804,27.0,male,S,Yes
805,31.0,male,S,No
806,39.0,male,S,No
807,18.0,female,S,No
808,39.0,male,S,No
809,33.0,female,S,Yes
810,26.0,male,S,No
811,39.0,male,S,Unknown
812,35.0,male,S,No
813,6.0,female,S,Unknown
814,30.5,male,S,No
815,,male,S,No
816,23.0,female,S,No
817,31.0,male,C,No
818,43.0,male,S,No
819,10.0,male,S,No
820,52.0,female,S,Yes
821,27.0,male,S,Yes
822,38.0,male,S,No
823,27.0,female,S,Yes
824,2.0,male,S,No
825,,male,Q,No
826,,male,S,No
827,1.0,male,C,Yes
828,,male,Q,Yes
829,62.0,female,,Yes
830,15.0,female,C,Yes
831,0.83,male,S,Yes
832,,male,C,No
833,23.0,male,S,No
834,18.0,male,S,No
835,39.0,female,C,Yes
836,21.0,male,S,No
837,,male,S,No
838,32.0,male,S,Yes
839,,male,C,Yes
840,20.0,male,S,No
841,16.0,male,S,No
842,30.0,female,C,Yes
843,34.5,male,C,No
844,17.0,male,S,No
845,42.0,male,S,Unknown
846,,male,S,No
847,35.0,male,C,No
848,28.0,male,S,No
849,,female,C,Unknown
850,4.0,male,S,Unknown
851,74.0,male,S,No
852,9.0,female,C,Unknown
853,16.0,female,S,Yes
854,44.0,female,S,No
855,18.0,female,S,Yes
856,45.0,female,S,Yes
857,51.0,male,S,Yes
858,24.0,female,C,Yes
859,,male,C,No
860,41.0,male,S,No
861,21.0,male,S,No
862,48.0,female,S,Yes
863,,female,S,No
864,24.0,male,S,Unknown
865,42.0,female,S,Unknown
866,27.0,female,C,Unknown
867,31.0,male,S,No
868,,male,S,No
869,4.0,male,S,Yes
870,26.0,male,S,No
871,47.0,female,S,Unknown
872,33.0,male,S,No
873,47.0,male,S,No
874,28.0,female,C,Yes
875,15.0,female,C,Yes
876,20.0,male,S,No
877,19.0,male,S,No
878,,male,S,No
879,56.0,female,C,Yes
880,25.0,female,S,Yes
881,33.0,male,S,No
882,22.0,female,S,No
883,28.0,male,S,Unknown
884,25.0,male,S,No
885,39.0,female,Q,No
886,27.0,male,S,No
887,19.0,female,S,Yes
888,,female,S,No
889,26.0,male,C,Unknown
890,32.0,male,Q,No
